category,date,amt
MSW,Jan 1960,390000
MSW,Jan 1970,2900000
MSW,Jan 1980,6830000
MSW,Jan 2000,29550000
MSW,Jan 2007,31000000
MSW,Jan 2010,31400000
MSW,Jan 2012,31920000
MSW,Jan 2013,32600000
MSW,Jan 2014,33250000
Recycled,Jan 1960,0
Recycled,Jan 1970,0
Recycled,Jan 1980,20000
Recycled,Jan 1990,370000
Recycled,Jan 2000,1480000
Recycled,Jan 2005,1780000
Recycled,Jan 2010,2500000
Recycled,Jan 2012,2790000
Recycled,Jan 2013,2990000
Recycled,Jan 2014,3170000
Combusted,Jan 1960,0
Combusted,Jan 1970,0
Combusted,Jan 1980,140000
Combusted,Jan 1990,2980000
Combusted,Jan 2000,4120000
Combusted,Jan 2005,4330000
Combusted,Jan 2010,4530000
Combusted,Jan 2012,4990000
Combusted,Jan 2013,4910000
Combusted,Jan 2014,4980000
Landfilled,Jan 1960,390000
Landfilled,Jan 1970,2900000
Landfilled,Jan 1980,6810000
Landfilled,Jan 1990,16760000
Landfilled,Jan 2000,24070000
Landfilled,Jan 2005,27600000
Landfilled,Jan 2010,24370000
Landfilled,Jan 2012,24140000
Landfilled,Jan 2013,24720000
Landfilled,Jan 2014,25100000
